-6,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-18,0,-4,0,0,0,0,0,0,0,0,-13,-11,0,-12,-24,-2,0,5,-5,1,1,-24,0,-9,3,0,0,5,0,0,-2,-6,-2
11,0,0,0,0,9,0,0,1,0,0,0,0,0,0,2,0,54,0,6,0,0,0,0,0,0,0,1,16,7,0,7,16,1,1,29,17,2,0,21,1,71,2,0,1,-1,1,0,1,2,1
-5,0,0,0,0,-5,0,0,-2,0,0,0,0,1,0,5,0,-32,0,-6,0,0,0,0,0,2,0,-2,-3,-2,0,-2,-1,0,-1,-72,-21,5,-3,5,-1,-81,0,0,-2,-6,-2,0,1,8,2
-8,0,0,0,0,-5,0,0,1,0,0,0,0,-2,0,1,0,-13,0,4,0,0,0,0,0,-4,0,1,7,4,0,2,-10,0,0,44,14,-9,6,-21,-1,33,-6,0,2,9,3,0,-1,-10,-4
11,0,0,0,0,7,0,0,1,0,0,0,0,3,0,0,0,-1,0,-6,0,1,0,0,0,4,0,0,15,-8,0,4,12,0,1,10,6,6,-2,0,7,-9,5,0,-2,-11,-4,0,2,4,3
-3,0,0,0,0,1,0,0,1,0,0,2,0,-3,0,-25,0,25,2,27,0,-2,0,0,0,-3,0,0,-27,4,0,-5,-2,2,1,12,-24,3,-5,9,-11,-1,0,0,6,11,2,0,-5,-3,-2
8,1,0,0,0,-3,0,0,-5,0,0,-4,0,1,0,44,0,-81,-4,-46,0,1,0,0,1,6,0,0,48,0,0,-6,-11,-4,-5,-74,15,-7,5,-3,4,67,-3,0,-10,5,0,0,7,7,2
-27,-2,1,0,0,5,0,0,3,0,1,4,0,-1,0,-42,0,176,2,23,0,0,0,0,-2,-11,1,0,-43,3,0,7,8,2,9,75,14,-4,-1,-2,5,-127,2,0,5,-23,0,0,-7,-8,-2
61,1,-1,0,0,-5,0,2,0,0,-2,-4,0,8,0,35,0,-101,0,0,0,0,1,0,1,9,-1,1,77,-6,0,15,35,1,-13,-10,-17,16,-7,21,-3,106,7,1,1,20,3,0,6,4,1
-74,1,-1,0,0,5,0,-4,7,0,3,2,0,-13,0,-21,0,-17,3,9,0,1,-2,0,0,0,-1,-1,-131,11,0,-22,-70,-2,21,-39,-1,-10,21,-24,-6,-5,-14,-2,5,-14,-3,0,-6,-2,2
13,-2,3,0,0,2,0,3,-9,0,-3,3,1,7,0,9,0,27,-6,-12,0,-2,2,0,3,-5,1,0,119,-6,0,6,60,2,-21,8,7,7,-26,-9,11,-23,9,2,-10,12,-2,0,2,8,-2
60,1,-3,1,0,-6,0,-2,-2,0,5,-6,-1,11,0,-20,0,243,4,4,0,1,-2,0,-6,-2,4,2,-60,-12,0,26,-50,0,16,56,14,-21,15,41,-10,-12,-2,-2,8,-7,2,2,2,-7,-1
-44,0,0,-2,0,-8,0,7,11,0,-6,11,0,-22,0,109,0,-448,1,-3,0,0,3,0,5,4,-8,-4,49,10,0,-19,76,1,-25,-50,-8,30,-7,-12,8,-50,5,1,-8,6,3,-4,0,11,2
