1,42,3,-1,8,0,2,3,4
14,57,0,1,13,6,5,2,9
0,-3,0,1,0,0,-2,6,1
6,98,2,3,41,2,0,39,9
16,90,4,1,50,1,5,1,14
14,77,0,5,46,2,5,5,26
27,71,1,10,42,8,3,22,53
11,87,2,8,61,10,8,50,53
31,146,0,9,0,1,7,1,101
19,60,0,7,115,8,3,30,106
73,195,7,4,129,17,11,53,188
36,193,0,26,127,25,18,26,139
68,177,2,9,150,18,32,17,209
39,291,2,11,417,53,4,69,219
183,285,7,18,236,44,24,60,278
55,194,2,17,0,56,21,92,323
95,196,7,21,365,12,39,79,219
141,378,3,13,646,131,13,40,274
145,202,1,30,545,94,20,120,246
150,352,5,19,499,58,37,164,327
229,320,5,54,527,193,41,154,439
211,327,3,26,521,50,19,157,529
189,340,3,6,39,194,6,186,483
147,388,10,40,1350,180,24,119,567
149,143,0,24,422,148,20,134,442
258,270,8,38,559,227,11,94,381
272,360,1,26,623,180,21,74,379
179,163,1,24,396,195,21,113,373
269,335,4,56,488,158,35,136,332
218,248,1,26,10,162,12,101,459
252,163,8,38,441,188,16,102,292
182,373,5,41,539,77,32,83,655
217,168,0,53,614,432,31,84,268
203,432,7,88,470,0,36,172,120
217,227,2,39,337,163,28,124,544
243,310,2,42,546,388,9,109,377
257,318,5,35,622,187,35,117,90
128,130,6,20,320,248,20,76,107
154,362,3,11,1482,329,14,81,63
154,190,5,40,1330,83,24,102,557
188,149,8,39,1294,113,13,199,213
280,308,3,78,1090,377,37,208,-230
359,265,3,57,1014,155,13,250,391
244,162,0,21,588,0,11,137,970
156,210,5,30,434,314,10,59,259
154,215,4,32,856,120,23,164,202
245,236,2,93,573,147,15,124,190
294,233,2,98,1490,308,13,353,238
207,239,6,17,735,219,14,44,333
376,226,1,121,1042,103,36,219,306
292,247,3,48,632,69,18,225,275
250,203,3,51,805,101,10,264,179
170,181,0,15,526,174,11,35,135
201,347,2,145,1611,247,8,180,201
256,336,2,168,829,321,7,381,220
313,248,2,56,846,214,8,96,226
310,323,1,87,808,67,18,211,233
266,786,3,101,922,509,18,316,265
112,169,4,112,462,0,8,150,186
150,299,1,85,560,310,23,417,104
450,242,11,124,948,122,12,165,130
360,160,-1,32,1327,75,13,77,225
467,242,15,122,855,237,17,368,326
254,288,7,46,924,291,17,119,257
316,215,11,174,1044,152,22,330,170
175,253,5,41,652,48,21,243,255
226,329,7,9,447,416,26,112,110
159,342,21,209,1115,215,18,267,116
299,154,8,67,1323,219,10,231,322
315,223,27,53,1142,348,25,171,170
238,442,20,75,1039,283,44,257,170
296,407,18,50,1051,169,1,393,302
235,266,26,32,896,50,0,78,267
185,187,25,35,1006,540,11,448,183
109,412,1,135,1823,337,30,220,167
141,366,6,83,917,0,13,160,119
292,369,38,171,1101,549,80,381,163
233,263,37,14,1823,265,20,270,270
264,388,41,62,2068,166,18,375,257
162,330,34,31,1255,46,3,212,216
141,303,4,55,1010,605,52,565,273
468,303,35,261,1208,319,103,189,151
306,245,75,58,1042,149,119,420,194
159,396,24,108,1434,148,-36,655,177
164,468,43,118,1376,754,42,554,346
165,405,32,80,1314,110,96,552,335
157,249,74,50,1462,0,52,79,196
125,595,19,121,849,636,45,839,165
56,367,19,258,1255,554,107,234,169
94,401,59,163,1166,497,80,604,237
96,563,127,141,1848,478,96,305,407
161,347,33,96,1572,484,73,469,290
202,354,82,162,1528,185,136,849,299
131,495,58,0,961,198,120,212,532
179,522,18,310,814,951,84,469,345
136,408,119,115,1339,690,115,296,406
173,402,70,262,2098,475,161,188,385
310,783,49,426,1095,956,135,727,435
212,735,93,205,1307,571,41,540,692
215,608,57,58,2054,245,608,277,750
265,457,76,0,1705,197,66,441,805
352,1140,69,429,2611,1227,-53,444,433
311,1211,65,480,2495,1280,231,752,512
274,847,25,350,1131,871,236,746,867
435,664,56,303,1946,599,223,654,1249
502,893,57,431,1816,1022,197,666,1571
328,418,22,100,1994,0,78,699,1535
348,1091,44,0,2533,211,25,635,1002
565,1389,19,636,3040,1287,218,790,819
389,940,84,328,2894,1415,763,479,1121
579,1628,51,729,1822,941,254,978,1219
566,1531,58,593,2127,1085,503,1135,1278
264,825,45,132,14,1254,273,805,1410
792,1039,83,237,20,0,46,107,1636
553,879,51,259,7198,1246,49,1179,1481
172,1479,23,446,1546,1528,40,314,1435
817,2103,88,1158,4201,1133,1520,1261,1421
638,1285,15,661,2498,1510,251,669,1858
562,2404,37,589,1745,2205,443,1002,1768
636,1011,69,197,2447,2292,246,782,1768
640,1611,60,315,2961,637,126,763,1772
575,793,19,376,3155,131,33,183,2219
656,1714,6,365,2827,1442,748,859,1515
885,2727,53,923,4233,1687,571,1366,1331
644,1473,20,393,2640,1902,311,777,1485
790,1665,129,377,4481,806,356,791,2303
636,1435,49,824,2758,2288,263,283,1410
483,1224,36,389,2736,328,56,1888,1222
655,984,35,0,2774,206,85,1325,1188
1014,1653,35,991,3133,1615,860,1466,908
740,2380,92,890,2988,1875,643,1219,1489
804,1922,45,1028,3119,1800,1020,1967,1494
845,2075,53,691,1751,1241,432,1987,1510
863,1987,35,859,2067,1265,473,1575,1455
387,778,56,416,3405,0,55,1008,1260
746,967,31,0,1700,1196,-3,1103,854
516,971,13,468,2019,0,635,1282,728
972,1765,78,1066,2623,3690,594,2044,688
556,2636,58,534,4820,3319,731,1350,903
629,1625,80,1207,2593,-151,334,1595,1008
646,1395,55,440,2524,924,216,1392,866
322,1551,54,0,2316,466,258,824,1139
456,921,-2,644,1325,284,18,1498,808
407,1040,2,410,1705,452,413,218,662
650,2397,52,1116,1947,2061,407,1275,709
248,617,15,318,2360,220,124,205,493
975,2331,27,1107,3057,1652,427,990,956
420,847,24,200,3058,1015,62,285,312
